country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,"Thursday, May 27, 2021",593313,479574,113739,2859,6487,1.49,,0.78,0,550,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Afghanistan,AFG,"Thursday, June 3, 2021",630305,481800,148505,4015,5285,1.58,,0.9,0.01,523,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Afghanistan,AFG,"Thursday, January 27, 2022",5081064,4517380,3868832,6868,9802,12.76,,1.04,0.02,618,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, February 18, 2021",3049,2438,611,1348,254,0.11,,1.19,0.02,757,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, May 11, 2021",622507,440921,181586,9548,12160,21.67,,1.36,0.02,943,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, May 12, 2021",632676,444755,187921,10169,10870,22.02,,1.51,0.03,1098,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, May 13, 2021",638338,445402,192936,5662,9445,22.22,,1.78,0.13,1423,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, May 14, 2021",653330,448571,204759,14992,9662,22.74,,1.91,0.17,1463,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, May 18, 2021",688947,460191,228756,8864,9491,23.98,,2.03,0.23,1493,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, May 19, 2021",697811,463402,234409,8864,9305,24.29,,2.13,0.32,1508,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
